Product Name,Discount Band Label,Total_Leakage,Line_Items,Category,Region_Most_Common
Bretford Conference Table Deluxe,50%,1245.070899806377,2,Furniture,Central
Zebra Label Printer Classic,30%,1219.4149212858742,3,Technology,Central
Bevis Table Pro,60%,1215.5533192203434,1,Furniture,East
Canon imageCLASS Copier Standard,60%,1211.5061497767317,1,Technology,South
Cubify 3D Printer Classic,40%,1164.1952361341027,2,Technology,South
Apple iPhone Accessory Value,80%,1151.9969779014928,1,Technology,Central
Hewlett Packard Copier Value,30%,1143.3411838805123,1,Technology,South
Canon imageCLASS Copier Deluxe,30%,1143.3112444404687,1,Technology,South
Bush Classic Bookcase Pro,80%,1139.0366685109968,1,Furniture,East
Zebra Label Printer Value,80%,1135.1141444450466,1,Technology,South
Cubify 3D Printer Pro,60%,1111.0495132057927,1,Technology,East
Canon imageCLASS Copier Classic,80%,1109.2178893239093,1,Technology,East
Bretford Conference Table Value,30%,1103.4413656161832,2,Furniture,Central
Harbour Creations Chair Deluxe,40%,1103.2048349383506,4,Furniture,Central
Cubify 3D Printer Pro,30%,1095.9048372185052,2,Technology,West
Bevis Table Standard,50%,1093.7368959339099,2,Furniture,South
Cisco IP Phone Classic,30%,1064.0898364942348,2,Technology,East
O'Sullivan Bookcase Pro,50%,1062.3016037372836,2,Furniture,Central
Bevis Table Deluxe,30%,1047.417809105829,4,Furniture,Central
Bevis Table Value,60%,1047.2008501355363,1,Furniture,Central
Bush Classic Bookcase Deluxe,30%,1039.4194478327026,5,Furniture,East
Chromcraft Round Table Value,30%,1036.5781602463628,3,Furniture,Central
Bevis Table Deluxe,40%,1034.2239066305237,1,Furniture,East
Zebra Label Printer Value,30%,1034.0571279907722,1,Technology,South
Harbour Creations Chair Pro,50%,1009.920924312725,2,Furniture,Central
Canon imageCLASS Copier Value,70%,1008.9718442111156,1,Technology,West
Sauder Bookcase Value,80%,1006.582375664902,1,Furniture,West
Chromcraft Round Table Classic,30%,1002.0762742444081,3,Furniture,West
Chromcraft Round Table Deluxe,80%,996.7368565896477,1,Furniture,West
Bretford Conference Table Deluxe,40%,992.0073586334497,3,Furniture,West
Lexmark Printer Classic,30%,985.0863918214905,4,Technology,West
Cubify 3D Printer Standard,70%,981.8998960975659,1,Technology,West
Chromcraft Round Table Standard,50%,978.7645192203433,1,Furniture,Central
Zebra Label Printer Standard,60%,965.7705079872735,1,Technology,South
Hewlett Packard Copier Standard,30%,951.5029176596556,1,Technology,South
Bush Classic Bookcase Pro,40%,947.7061112508331,4,Furniture,Central
O'Sullivan Bookcase Pro,60%,940.825360304566,1,Furniture,West
Hewlett Packard Copier Classic,30%,940.333943816077,1,Technology,West
Chromcraft Round Table Value,40%,926.6894951163891,3,Furniture,Central
Harbour Creations Chair Deluxe,70%,917.1683976361032,1,Furniture,Central
Bevis Table Standard,40%,906.142474248096,2,Furniture,East
Samsung Galaxy Dock Classic,40%,898.3416746147644,1,Technology,Central
Lexmark Printer Pro,50%,897.8923910546423,2,Technology,East
Bretford Conference Table Classic,60%,896.6417449335227,1,Furniture,Central
Hewlett Packard Copier Pro,30%,890.3564155848394,1,Technology,South
Hewlett Packard Copier Deluxe,70%,883.2834711218594,1,Technology,East
Zebra Label Printer Standard,50%,878.9722384131363,2,Technology,West
Hoover Vacuum Deluxe,60%,872.6222302916426,2,Office Supplies,South
Zebra Label Printer Classic,50%,870.9372589286085,2,Technology,East
Cisco IP Phone Pro,50%,868.9276582264004,2,Technology,East
Bretford Conference Table Standard,40%,861.6803345811282,4,Furniture,West
Zebra Label Printer Deluxe,50%,850.8073431671385,1,Technology,Central
Samsung Galaxy Dock Deluxe,60%,836.2031385473522,3,Technology,West
Zebra Label Printer Value,50%,833.6116522266095,1,Technology,East
Hewlett Packard Copier Standard,40%,824.1739496987901,1,Technology,West
O'Sullivan Bookcase Classic,40%,821.3850743181218,3,Furniture,East
Samsung Galaxy Dock Deluxe,40%,819.0892486879205,2,Technology,East
Apple iPhone Accessory Classic,50%,818.0698830328531,2,Technology,Central
Cubify 3D Printer Value,60%,799.8122309446567,2,Technology,West
Bush Classic Bookcase Classic,30%,787.1934891792313,3,Furniture,West
Avanti Refrigerator Deluxe,60%,782.0289711594414,3,Office Supplies,Central
Hon Task Chair Value,30%,780.687542425317,4,Furniture,East
Bretford Conference Table Value,50%,779.1712577772041,2,Furniture,Central
Chromcraft Round Table Classic,50%,774.6778396798761,1,Furniture,South
Global Deluxe Chair Standard,70%,769.5300132492043,1,Furniture,West
Apple iPhone Accessory Deluxe,80%,739.6070118544694,1,Technology,Central
Hewlett Packard Copier Value,50%,732.7038400450663,1,Technology,East
Lexmark Printer Pro,40%,729.2062703689493,1,Technology,East
Global Deluxe Chair Classic,30%,728.0890060568269,3,Furniture,Central
Bush Classic Bookcase Classic,40%,707.867010487532,2,Furniture,East
Lexmark Printer Standard,30%,688.43832746482,2,Technology,Central
SAFCO Storage Bin Classic,70%,684.2043241507068,2,Office Supplies,East
Lexmark Printer Value,40%,670.5872451156449,1,Technology,West
Harbour Creations Chair Value,30%,669.2455456454262,3,Furniture,South
Apple iPhone Accessory Classic,60%,669.0381965912622,1,Technology,Central
Honeywell Fan Classic,80%,660.4338826773893,1,Office Supplies,West
Zebra Label Printer Standard,30%,656.8977334732004,3,Technology,Central
Bretford Conference Table Pro,50%,649.1731481089455,1,Furniture,West
Harbour Creations Chair Pro,30%,644.4340302754672,3,Furniture,East
Bevis Table Value,50%,643.2268735252355,1,Furniture,South
Lexmark Printer Standard,50%,638.8917781493542,1,Technology,East
Apple iPhone Accessory Deluxe,50%,637.9276094892947,2,Technology,West
O'Sullivan Bookcase Standard,40%,633.9662014134276,1,Furniture,West
Cisco IP Phone Standard,40%,631.5178742024101,2,Technology,East
Hoover Vacuum Value,60%,628.4624743363235,1,Office Supplies,West
Bretford Conference Table Pro,70%,623.5366038466503,1,Furniture,East
Sauder Bookcase Pro,40%,623.2816627265069,2,Furniture,West
Sauder Bookcase Standard,50%,620.7104531016184,2,Furniture,East
Hewlett Packard Copier Standard,50%,616.1553103163856,1,Technology,South
Hoover Vacuum Deluxe,40%,610.9663184051063,3,Office Supplies,West
Bush Classic Bookcase Standard,50%,609.0191299624007,1,Furniture,East
Fellowes File Cart Classic,80%,608.2719446896331,1,Office Supplies,Central
Samsung Galaxy Dock Standard,70%,604.6567658645808,1,Technology,East
Samsung Galaxy Dock Classic,30%,600.3913763238245,3,Technology,Central
Samsung Galaxy Dock Value,60%,595.9719263214686,1,Technology,East
Bretford Conference Table Value,60%,593.6616625790629,1,Furniture,Central
Canon imageCLASS Copier Classic,30%,590.7272125885437,1,Technology,West
Harbour Creations Chair Classic,30%,590.0453467758146,3,Furniture,East
O'Sullivan Bookcase Pro,40%,588.942531594633,1,Furniture,Central
Honeywell Fan Pro,40%,588.4290168674934,3,Office Supplies,East
Samsung Galaxy Dock Value,30%,582.0815826813675,1,Technology,Central
Global Deluxe Chair Classic,70%,580.6316805558124,1,Furniture,South
Fellowes File Cart Pro,40%,572.7141228262009,5,Office Supplies,East
Apple iPhone Accessory Pro,40%,566.8835493419108,1,Technology,East
Hon Task Chair Classic,50%,561.4791213901452,1,Furniture,East
Bretford Conference Table Pro,60%,559.733019491416,1,Furniture,South
Hoover Vacuum Value,80%,556.6790744574131,2,Office Supplies,South
Global Deluxe Chair Standard,30%,556.0169759972438,3,Furniture,East
Hoover Vacuum Standard,70%,551.8115922589536,2,Office Supplies,Central
Sauder Bookcase Classic,50%,538.1595760471813,2,Furniture,Central
SAFCO Storage Bin Pro,40%,537.1894419080071,4,Office Supplies,East
Bush Classic Bookcase Value,60%,537.0846751883103,2,Furniture,Central
Harbour Creations Chair Deluxe,30%,535.1507262246076,3,Furniture,West
Cubify 3D Printer Deluxe,30%,531.7456014843732,1,Technology,Central
Hon Task Chair Standard,50%,527.0702768950791,2,Furniture,West
Avanti Refrigerator Classic,50%,517.6571451127732,3,Office Supplies,South
Bevis Table Pro,30%,516.4676536908297,2,Furniture,Central
Bevis Table Standard,70%,514.4138690245686,1,Furniture,Central
O'Sullivan Bookcase Value,50%,512.4573406938873,1,Furniture,South
Avanti Refrigerator Deluxe,40%,507.34333642088785,3,Office Supplies,Central
Honeywell Fan Pro,80%,502.61731855927303,1,Office Supplies,East
Global Deluxe Chair Classic,40%,497.78567678778313,1,Furniture,East
Cubify 3D Printer Pro,70%,497.123772972765,1,Technology,Central
Bretford Conference Table Classic,30%,495.25314226705274,4,Furniture,Central
Bretford Conference Table Deluxe,30%,482.3799443840012,2,Furniture,Central
Lexmark Printer Deluxe,50%,482.23523889266477,1,Technology,West
O'Sullivan Bookcase Classic,30%,479.5513218817198,3,Furniture,Central
Lexmark Printer Value,60%,467.1633133251882,1,Technology,Central
Fellowes File Cart Deluxe,60%,465.0447732461713,1,Office Supplies,Central
O'Sullivan Bookcase Value,30%,459.92546319932603,2,Furniture,East
Cubify 3D Printer Pro,50%,459.5046944987677,1,Technology,East
Avanti Refrigerator Pro,40%,453.12911980266654,3,Office Supplies,Central
Zebra Label Printer Deluxe,30%,445.4186151093313,1,Technology,West
Harbour Creations Chair Value,40%,441.5355776224228,1,Furniture,West
O'Sullivan Bookcase Value,40%,434.7613208757215,2,Furniture,Central
Cisco IP Phone Classic,50%,434.283492667034,2,Technology,Central
Samsung Galaxy Dock Standard,50%,419.0075700935471,1,Technology,East
Avanti Refrigerator Classic,40%,418.51810827780673,3,Office Supplies,Central
Avanti Refrigerator Standard,30%,409.3310388307573,3,Office Supplies,East
Apple iPhone Accessory Value,30%,404.64031862337254,1,Technology,East
Chromcraft Round Table Deluxe,30%,387.6989167050841,1,Furniture,Central
Chromcraft Round Table Pro,60%,386.76110416935586,1,Furniture,Central
Apple iPhone Accessory Standard,60%,381.83934386134564,1,Technology,West
Harbour Creations Chair Value,70%,381.6287980922522,1,Furniture,East
Hoover Vacuum Classic,30%,378.4671623089176,4,Office Supplies,South
Global Deluxe Chair Value,40%,373.9200433625536,1,Furniture,Central
Bevis Table Classic,30%,371.34144974091356,1,Furniture,West
Fellowes File Cart Classic,40%,369.4619762951455,3,Office Supplies,Central
Lexmark Printer Pro,60%,364.380509947085,1,Technology,West
Bush Classic Bookcase Pro,30%,358.2997020987639,1,Furniture,South
Cubify 3D Printer Value,50%,353.2738958659099,1,Technology,West
Global Deluxe Chair Pro,40%,351.0982660892706,1,Furniture,East
SAFCO Storage Bin Deluxe,30%,347.0026732422722,3,Office Supplies,Central
Harbour Creations Chair Pro,80%,341.73151025008497,1,Furniture,East
Avanti Refrigerator Deluxe,50%,334.52437919705966,2,Office Supplies,Central
Bevis Table Classic,80%,327.67636530269783,1,Furniture,Central
Bevis Table Pro,80%,327.60187608106366,1,Furniture,Central
Honeywell Fan Classic,30%,317.49910205541016,4,Office Supplies,Central
Global Deluxe Chair Deluxe,60%,309.05774466289466,1,Furniture,South
Avanti Refrigerator Pro,30%,307.33410853899045,1,Office Supplies,East
Samsung Galaxy Dock Pro,70%,305.73771076200694,1,Technology,West
SAFCO Storage Bin Pro,60%,304.9277401986543,1,Office Supplies,West
Bevis Table Classic,70%,298.9385029904049,1,Furniture,Central
Hon Task Chair Pro,70%,298.1470358868794,2,Furniture,Central
IRIS Storage Box Standard,40%,295.5401269389664,3,Office Supplies,West
Hoover Vacuum Value,30%,289.08673354889083,5,Office Supplies,West
Fellowes File Cart Deluxe,30%,287.4238756855558,4,Office Supplies,East
Bretford Conference Table Value,40%,287.26502723634957,2,Furniture,East
Fellowes File Cart Standard,50%,286.9178620740812,2,Office Supplies,South
Sauder Bookcase Standard,30%,286.1164261911648,1,Furniture,West
Harbour Creations Chair Standard,50%,283.13360893036145,1,Furniture,West
Honeywell Fan Deluxe,30%,282.8629406926889,2,Office Supplies,Central
IRIS Storage Box Value,70%,282.21298080760096,1,Office Supplies,West
IRIS Storage Box Standard,30%,280.3724703266653,4,Office Supplies,East
Apple iPhone Accessory Standard,30%,279.8712869259389,2,Technology,West
Cisco IP Phone Pro,70%,272.83601706894876,1,Technology,East
Hoover Vacuum Pro,50%,271.0306995183921,1,Office Supplies,West
Fellowes File Cart Deluxe,40%,269.6033085541571,2,Office Supplies,Central
Bevis Table Deluxe,70%,268.9359912224087,1,Furniture,West
Fellowes File Cart Classic,70%,267.27422731451486,1,Office Supplies,Central
Hon Task Chair Standard,40%,263.04691747689674,2,Furniture,Central
Bush Classic Bookcase Classic,50%,261.1040377249349,1,Furniture,Central
Honeywell Fan Value,30%,258.26979108664614,1,Office Supplies,West
Bush Classic Bookcase Value,50%,258.1332158746526,1,Furniture,West
Global Deluxe Chair Pro,30%,257.5980651313028,3,Furniture,Central
SAFCO Storage Bin Standard,30%,257.1656572821434,2,Office Supplies,West
Honeywell Fan Classic,40%,254.80409637006358,3,Office Supplies,Central
Fellowes File Cart Deluxe,50%,253.99493270925691,1,Office Supplies,Central
Samsung Galaxy Dock Standard,30%,253.65242702983218,1,Technology,Central
Bevis Table Value,30%,251.54715270427263,1,Furniture,Central
Honeywell Fan Standard,50%,250.5124043768845,2,Office Supplies,East
O'Sullivan Bookcase Deluxe,30%,250.24451969870353,2,Furniture,South
IRIS Storage Box Pro,60%,250.1498947123061,1,Office Supplies,West
O'Sullivan Bookcase Deluxe,40%,248.14423644731716,1,Furniture,South
Fellowes File Cart Classic,30%,247.86097984599033,3,Office Supplies,East
Harbour Creations Chair Deluxe,50%,247.2913340565127,2,Furniture,East
IRIS Storage Box Standard,70%,247.094002884009,2,Office Supplies,Central
Logitech Mouse Standard,40%,241.76529228372692,3,Technology,West
Avanti Refrigerator Deluxe,30%,241.10858013986453,3,Office Supplies,South
Global Deluxe Chair Standard,40%,240.59577139442663,2,Furniture,Central
Fellowes File Cart Pro,30%,240.26412361026308,4,Office Supplies,Central
Bush Classic Bookcase Value,30%,232.54679476377908,2,Furniture,East
Harbour Creations Chair Standard,30%,232.26872061940415,2,Furniture,East
Tenex Chairmat Value,50%,232.04395215292453,3,Furniture,East
Fellowes File Cart Pro,50%,228.05817877495156,2,Office Supplies,East
SanDisk USB Drive Value,30%,227.81616111954588,5,Technology,East
Hoover Vacuum Value,40%,226.40505016205586,2,Office Supplies,East
Chromcraft Round Table Pro,30%,223.0779827767431,2,Furniture,Central
Samsung Galaxy Dock Deluxe,30%,222.81748591034534,1,Technology,West
Avanti Refrigerator Pro,50%,221.8286762515362,2,Office Supplies,East
Avanti Refrigerator Value,60%,220.439417017643,1,Office Supplies,East
Honeywell Fan Pro,60%,214.3203212618936,1,Office Supplies,Central
Lexmark Printer Classic,40%,213.84709498737698,1,Technology,West
Bush Classic Bookcase Standard,30%,213.29756171170607,1,Furniture,East
Bevis Table Value,70%,212.8746902456865,1,Furniture,West
Global Deluxe Chair Value,30%,211.77044274092069,2,Furniture,Central
Fellowes File Cart Value,60%,211.18461975082874,1,Office Supplies,Central
Global Deluxe Chair Deluxe,40%,209.4047459451205,1,Furniture,East
SAFCO Storage Bin Value,70%,208.81352744261568,1,Office Supplies,Central
SAFCO Storage Bin Value,40%,206.3518807272389,2,Office Supplies,East
Sauder Bookcase Classic,60%,206.06135300479107,1,Furniture,South
Hon Task Chair Standard,30%,204.50969738424993,1,Furniture,East
Sauder Bookcase Classic,40%,202.30141952642634,1,Furniture,West
Global Deluxe Chair Pro,70%,200.81729004287774,1,Furniture,East
O'Sullivan Bookcase Standard,70%,199.3197462369377,1,Furniture,South
Sauder Bookcase Standard,40%,196.8550907284685,2,Furniture,Central
Lexmark Printer Pro,30%,195.45146747179763,1,Technology,West
IRIS Storage Box Pro,40%,193.92625320002017,2,Office Supplies,Central
SAFCO Storage Bin Value,30%,191.85217089768173,3,Office Supplies,Central
Avanti Refrigerator Value,40%,190.23883519515465,2,Office Supplies,Central
Chromcraft Round Table Standard,30%,189.27752169503404,1,Furniture,Central
Samsung Galaxy Dock Classic,60%,186.69898431914845,1,Technology,Central
O'Sullivan Bookcase Deluxe,50%,182.6755771537794,1,Furniture,Central
SAFCO Storage Bin Deluxe,40%,179.45047797796417,1,Office Supplies,East
SAFCO Storage Bin Pro,50%,175.78708646193743,1,Office Supplies,West
Belkin Cable Standard,40%,174.04294760556752,2,Technology,Central
IRIS Storage Box Deluxe,50%,171.15967654641003,2,Office Supplies,East
SanDisk USB Drive Standard,70%,170.27438232020742,1,Technology,East
Bretford Conference Table Pro,80%,169.16349761197887,1,Furniture,West
Belkin Cable Deluxe,40%,168.68478181257086,2,Technology,West
Tenex Chairmat Pro,40%,166.51329733816718,2,Furniture,West
SanDisk USB Drive Standard,40%,163.26419144416926,2,Technology,East
Honeywell Fan Deluxe,60%,161.207059087073,1,Office Supplies,East
Stanley Hole Punch Classic,40%,160.1429701298742,5,Office Supplies,East
Belkin Cable Value,80%,159.1179008267962,1,Technology,Central
Fellowes Wall Clock Value,40%,157.13759245975587,2,Furniture,Central
Eldon Desk Lamp Pro,40%,156.08711728478835,2,Furniture,Central
SanDisk USB Drive Deluxe,40%,155.58725269432722,1,Technology,South
SAFCO Storage Bin Classic,60%,155.290522098293,1,Office Supplies,South
Avanti Refrigerator Value,50%,155.0793339169469,1,Office Supplies,East
Bevis Table Standard,60%,154.21524383632374,1,Furniture,South
Honeywell Fan Pro,30%,153.92788647380704,3,Office Supplies,West
Global Deluxe Chair Deluxe,30%,151.73292867786466,2,Furniture,Central
Fellowes File Cart Value,30%,151.36985753205332,1,Office Supplies,East
Logitech Mouse Value,30%,150.97769880681997,5,Technology,East
Global Deluxe Chair Standard,60%,150.16510455478212,1,Furniture,West
Stanley Hole Punch Standard,80%,149.62644425720816,2,Office Supplies,Central
Avanti Refrigerator Value,30%,148.81178595882227,2,Office Supplies,Central
Fellowes Wall Clock Pro,70%,148.77922923815615,1,Furniture,West
Fellowes Wall Clock Standard,50%,148.4685106143735,1,Furniture,Central
Cisco IP Phone Deluxe,30%,147.8404128471724,1,Technology,West
Avanti Refrigerator Standard,70%,147.74501829009668,1,Office Supplies,Central
Hoover Vacuum Pro,30%,144.43894769129534,1,Office Supplies,West
Bevis Table Standard,30%,144.02215360784822,1,Furniture,South
Honeywell Fan Pro,50%,140.88107854391433,2,Office Supplies,East
Belkin Cable Pro,60%,139.38139327666752,1,Technology,East
Cisco IP Phone Pro,30%,138.1266060722095,1,Technology,West
SAFCO Storage Bin Classic,30%,135.92588067881655,2,Office Supplies,Central
Sauder Bookcase Deluxe,50%,131.28848715465966,1,Furniture,East
IRIS Storage Box Value,60%,130.77608216473035,1,Office Supplies,West
IRIS Storage Box Deluxe,40%,129.9571644466871,1,Office Supplies,South
Hon Task Chair Deluxe,50%,127.226848847051,1,Furniture,South
Fellowes File Cart Pro,70%,125.01723991407025,1,Office Supplies,Central
Hon Task Chair Pro,40%,124.43370969449998,1,Furniture,South
Elmer's Glue Pack Classic,60%,122.22470461554904,1,Office Supplies,East
Eldon Desk Lamp Standard,30%,122.12757590696465,3,Furniture,Central
SanDisk USB Drive Value,40%,120.58575000950978,2,Technology,Central
Elmer's Glue Pack Pro,30%,120.56433494315615,6,Office Supplies,West
Poly String Envelope Standard,60%,118.9589508166583,3,Office Supplies,West
Apple iPhone Accessory Classic,40%,118.61008638611456,1,Technology,South
Fellowes Wall Clock Value,30%,118.29418589901599,3,Furniture,West
Elmer's Glue Pack Deluxe,60%,118.27337948044024,2,Office Supplies,Central
Hon Task Chair Deluxe,60%,117.29374952004383,1,Furniture,East
IRIS Storage Box Deluxe,30%,117.27259602238036,2,Office Supplies,Central
Honeywell Fan Classic,50%,115.59786287421593,1,Office Supplies,South
GBC Binding System Pro,30%,113.99392875806761,6,Office Supplies,Central
Tenex Chairmat Classic,40%,112.93920041617392,4,Furniture,Central
Eldon Desk Lamp Pro,50%,112.86743959985267,3,Furniture,Central
Harbour Creations Chair Classic,40%,111.97766918851923,1,Furniture,East
Tenex Chairmat Value,70%,111.92274131947809,1,Furniture,East
Hoover Vacuum Standard,80%,111.53501807296063,1,Office Supplies,West
Bretford Conference Table Deluxe,60%,110.67878172195688,1,Furniture,East
Fellowes Wall Clock Value,80%,107.45314107907953,1,Furniture,West
Newell Scissors Deluxe,40%,107.33519187862564,4,Office Supplies,Central
Elmer's Glue Pack Standard,40%,106.95917222349722,4,Office Supplies,East
Fellowes Wall Clock Classic,60%,106.09125201139955,1,Furniture,East
Elmer's Glue Pack Standard,50%,105.72642558248474,2,Office Supplies,East
Acco Binder Standard,40%,105.2158311471389,4,Office Supplies,Central
Kraft Clasp Envelope Pro,70%,104.54784785030152,3,Office Supplies,South
GBC Binding System Deluxe,40%,104.01804163586188,3,Office Supplies,East
Fellowes Wall Clock Classic,80%,103.11298268742368,1,Furniture,West
SanDisk USB Drive Standard,30%,101.64567325092024,4,Technology,East
Eldon Desk Lamp Deluxe,40%,101.48990119100702,2,Furniture,East
IRIS Storage Box Value,30%,101.12791289043116,2,Office Supplies,East
Belkin Cable Classic,50%,99.18136778439987,1,Technology,West
Belkin Cable Value,70%,99.02179135483888,1,Technology,West
SAFCO Storage Bin Classic,50%,98.83224254866315,2,Office Supplies,Central
IRIS Storage Box Standard,50%,98.63535095057793,2,Office Supplies,East
SAFCO Storage Bin Value,80%,98.42214399448454,1,Office Supplies,West
Eldon Desk Lamp Value,70%,98.40376572769041,2,Furniture,East
Fellowes Wall Clock Classic,50%,97.71821717299005,2,Furniture,South
Stanley Hole Punch Standard,40%,97.66559894826304,4,Office Supplies,East
Elmer's Glue Pack Classic,70%,97.33592307313425,1,Office Supplies,West
Belkin Cable Deluxe,30%,96.26465796187026,2,Technology,East
Prismacolor Pencils Standard,40%,96.05795961624278,4,Office Supplies,East
Apple iPhone Accessory Pro,50%,94.75962153202084,1,Technology,West
Wilson Jones Binder Standard,70%,93.28967128141578,1,Office Supplies,Central
Sauder Bookcase Pro,30%,93.236940885027,1,Furniture,East
Sauder Bookcase Value,30%,92.07782628924966,1,Furniture,South
Belkin Cable Pro,70%,90.3435440939539,1,Technology,Central
Harbour Creations Chair Pro,60%,90.28115579466467,1,Furniture,Central
Tenex Chairmat Deluxe,40%,89.8185126952431,1,Furniture,Central
Kraft Clasp Envelope Classic,80%,89.60955931812366,4,Office Supplies,Central
Fellowes Wall Clock Standard,40%,89.10333578901792,3,Furniture,South
Stanley Hole Punch Pro,40%,88.11423355560655,3,Office Supplies,East
Tenex Chairmat Standard,40%,87.7927214155083,2,Furniture,Central
Kraft Clasp Envelope Deluxe,80%,87.6587204544881,1,Office Supplies,East
Apple iPhone Accessory Deluxe,40%,85.32536824252836,1,Technology,East
Fellowes Wall Clock Value,60%,83.53573912874894,1,Furniture,Central
Fellowes Wall Clock Classic,40%,82.22849350212935,1,Furniture,East
Hon Task Chair Pro,60%,81.50886583043496,1,Furniture,East
Stanley Hole Punch Deluxe,40%,80.40879343680932,4,Office Supplies,East
GBC Binding System Standard,60%,76.89241187204075,1,Office Supplies,East
Apple iPhone Accessory Value,40%,76.48994503135074,1,Technology,Central
SAFCO Storage Bin Standard,40%,72.04984328873371,1,Office Supplies,West
Elmer's Glue Pack Classic,40%,70.62845741754353,4,Office Supplies,West
Eldon Desk Lamp Value,30%,70.34270093916089,3,Furniture,Central
Cisco IP Phone Standard,30%,70.11284131905967,1,Technology,Central
Fellowes File Cart Value,40%,70.08309638000937,1,Office Supplies,West
Acco Binder Standard,30%,69.95138975799846,5,Office Supplies,Central
Fellowes Wall Clock Classic,30%,69.81198489477023,3,Furniture,Central
Sharpie Marker Set Classic,30%,69.56200803212853,4,Office Supplies,East
IRIS Storage Box Value,40%,69.33329648424083,2,Office Supplies,Central
Elmer's Glue Pack Pro,60%,69.28533014018616,1,Office Supplies,West
HP Premium Paper Deluxe,60%,69.26706657728073,2,Office Supplies,Central
Elmer's Glue Pack Value,40%,69.19773195379315,3,Office Supplies,South
Elmer's Glue Pack Deluxe,50%,68.40773869220345,2,Office Supplies,East
Newell Scissors Standard,40%,67.53299196787151,4,Office Supplies,Central
Honeywell Fan Value,50%,67.52076013555082,1,Office Supplies,West
Fellowes Wall Clock Standard,80%,67.16728330199105,1,Furniture,East
Elmer's Glue Pack Standard,80%,67.16305834750705,1,Office Supplies,South
Eldon Desk Lamp Pro,30%,66.85375395702182,2,Furniture,South
